claim_id,hypothesis,claim,required_v3_evidence,current_v3_status,historical_observation_status,decision_consequence,allowed_current_wording
V3-E01,H1,Observed source-target shifts are heterogeneous across clinical variables,"locked ontology; feature-level effect sizes; Wasserstein; PSI; missingness; patient-cluster uncertainty; alternative grouping sensitivity",not_tested,"V1/V2 prevalence and feature differences are hypothesis-generating only",If unsupported remove heterogeneous-shift claim,Proposed hypothesis
V3-E02,H1,Observed shifts map to population measurement treatment and disease-mechanism causes,"multiple centers or external causal/measurement metadata; validated semantic mappings",blocked_not_identifiable_in_current_two_center_design,"No historical artifact identifies causal shift source",Do not claim causal decomposition,Not currently identifiable
V3-E03,H1,Different feature tiers have different predictive transportability,"capacity-controlled source-only tier probes; source and target performance; patient-cluster uncertainty; size sensitivity",not_tested,"Historical SHAP and ablations are exploratory only",If unsupported describe feature shift without transportability hierarchy,Proposed hypothesis
V3-E04,H2,Selective clinical alignment improves over dual no alignment,"D1/D2 versus C paired held-out contrasts across all locked seeds",not_tested,"V2 did not show stable outcome-specific CORAL benefit",If unsupported no incremental selective-alignment claim,No V3 evidence
V3-E05,H2,Selective clinical alignment improves over architecture-matched global alignment,"D1/D2 versus G paired held-out contrasts across all locked seeds",not_tested,"V2 did not show stable superiority",Required for mechanism-aware title,No V3 evidence
V3-E06,H2,Clinical partitions outperform size-matched random partitions,"multiple locked random partitions; empirical random null; paired patient-cluster contrasts",not_tested,"Single historical random grouping is insufficient",Required for mechanism-aware title,No V3 evidence
V3-E07,H3,IDH and IH favor different transport strategies,"both partitions tested for both endpoints; prespecified endpoint-by-strategy contrast; multiplicity control",not_tested,"Historical outcome-specific mapping is hypothesis-generating only",If unsupported remove outcome-specific mechanism claim,Proposed hypothesis
V3-E08,representation,Alignment reduces selected discrepancies while preserving outcome information,"latent distances; domain classifier; outcome probes; attribution stability; held-out prediction and calibration",not_tested,"V1 latent metrics were directionally inconsistent",If unsupported representation language remains descriptive,No V3 evidence
V3-E09,updating,Supervised target updating improves over source-only deployment,"Model A versus source-only paired held-out contrasts and calibration",not_tested,"V1 supported updating but is historical exploratory for V3",May support updating paper even if H2 fails,Proposed hypothesis
V3-E10,utility,The selected model improves clinically relevant net benefit,"clinically locked thresholds and alert action; untouched temporal/external cohort; DCA and alert burden with patient-cluster uncertainty",blocked,"Historical thresholds were validation-derived and not clinically prespecified",No deployment-ready claim until resolved,Not currently claimable
