evidence_node_id,experiment_id,phase,scientific_question,experimental_tool,primary_comparison_or_estimand,statistical_unit,planned_output,protocol_status,execution_status
E1.1,V3-E1-POPULATION,observed_shift,Do centers differ in patient composition and endpoint burden?,patient-balanced descriptive analysis,source versus target composition and prevalence,patient_cluster,v3/evaluation/results/population_shift.csv,blocked_data_contract,not_started
E1.2,V3-E1-FEATURE,observed_shift,Are observed feature shifts heterogeneous?,feature-level distance and domain probes,feature-specific effect sizes and ontology heterogeneity,patient_cluster,v3/evaluation/results/feature_shift.csv,blocked_ontology,not_started
E1.3,V3-E1-POLICY,observed_shift,Do measured treatment and workflow proxies differ?,clinically mapped treatment descriptors,source versus target policy-proxy distributions,patient_cluster,v3/evaluation/results/policy_proxy_shift.csv,blocked_semantic_mapping,not_started
E1.4,V3-E1-MEASUREMENT,observed_shift,Are measurable device acquisition or process shifts present?,measurement-process metadata audit,source versus target measurement-process descriptors,patient_or_device,v3/evaluation/results/measurement_process_shift.csv,blocked_no_features,not_started
E2.1,V3-E2-FEATURE-RANK,transportability,Which information groups naturally transfer?,capacity-controlled source-only group probes,target-minus-source performance and normalized excess-AUC ratio,patient_cluster,v3/evaluation/results/transportability_ranking.csv,blocked_groups_and_split,not_started
E2.2,V3-E2-REPRESENTATION,transportability,Which source-learned representations preserve outcome information?,locked latent extraction and linear probes,source versus target outcome-probe performance,patient_cluster,v3/evaluation/results/representation_transportability.csv,draft,not_started
E2.3,V3-E2-OUTCOME,transportability,Do IDH and IH show different transportability patterns?,prespecified interaction analysis,endpoint-by-feature-group transportability contrast,patient_cluster,v3/evaluation/results/outcome_transportability.csv,draft,not_started
E3.1,V3-E3-CONTROLS,selective_alignment,What do architecture updating and blind alignment contribute?,Models A B C and G,architecture-matched no versus global alignment,patient_cluster_blocked_by_seed,v3/evaluation/results/alignment_controls.csv,blocked_implementation,not_started
E3.2,V3-E3-SELECTIVE,selective_alignment,Does knowing what to align improve transportability?,Models C D1 D2 and G,selective versus dual global and dual no alignment,patient_cluster_blocked_by_seed,v3/evaluation/results/selective_alignment.csv,blocked_implementation,not_started
E3.3,V3-E3-RANDOM,selective_alignment,Does the clinical partition beat appropriate random nulls?,Random control families A-D,clinical partition versus locked empirical random distributions,patient_cluster_partition_and_seed,v3/evaluation/results/random_partition_controls.csv,blocked_partition_lock,not_started
E4.1,V3-E4-LATENT,representation_validation,Did alignment reduce discrepancy without collapse?,latent geometry diagnostics,before versus after and model contrasts,patient_cluster_blocked_by_seed,v3/evaluation/results/latent_validation.csv,draft,not_started
E4.2,V3-E4-PRESERVATION,representation_validation,Was outcome information preserved?,patient-grouped outcome probes,source versus target probe performance,patient_cluster_blocked_by_seed,v3/evaluation/results/information_preservation.csv,draft,not_started
E4.3,V3-E4-ATTRIBUTION,representation_validation,Are contributions stable across centers and seeds?,fixed attribution protocol,rank correlation top-k overlap and group-share change,patient_cluster_blocked_by_seed,v3/evaluation/results/attribution_stability.csv,draft,not_started
E4.4,V3-E4-CALIBRATION,representation_validation,Was probabilistic calibration preserved?,calibration diagnostics,intercept slope ECE and Brier changes,patient_cluster_blocked_by_seed,v3/evaluation/results/representation_calibration.csv,blocked_calibration_lock,not_started
E5.1,V3-E5-CALIBRATION,clinical_utility,Are predicted risks clinically calibrated?,locked calibration evaluation,model calibration on untouched evaluation data,patient_cluster,v3/evaluation/results/clinical_calibration.csv,blocked_new_cohort,not_started
E5.2,V3-E5-DCA,clinical_utility,Does prediction add net benefit?,decision curve analysis,model versus alert-all and alert-none,patient_cluster,v3/evaluation/results/decision_curve.csv,blocked_clinical_thresholds,not_started
E5.3,V3-E5-ALERT,clinical_utility,Is review burden clinically acceptable?,alert burden analysis,events captured false alerts missed events and reviews per 1000,patient_cluster,v3/evaluation/results/alert_burden.csv,blocked_workflow_definition,not_started
E5.4,V3-E5-THRESHOLD,clinical_utility,Are thresholds independent and actionable?,threshold metrics,sensitivity specificity PPV NPV and number needed to review,patient_cluster,v3/evaluation/results/threshold_metrics.csv,blocked_clinical_thresholds,not_started
