claim_id,evidence_tier,locator,manuscript_paragraph_sha256,run_ids,artifacts,status
STATUS-FREEZE-DATE,project_status,"Manuscript status: registered historical evidence; confirmatory submission freeze blocked, 2026-07-19",421125685bdddbcac827a4488b6aebbd276fabe183db8de31de389e8e0fcb354,,"[{""path"": ""docs/submission_freeze_status.md"", ""sha256"": ""21141d55c3720df393425b7b90dd4df3385876bcc159a880c691b3ffc8b05ede""}]",mapped
MTH-COHORT-ABSTRACT,registered_historical_v1,"We conducted a retrospective two-center study using 211,452 sessions",00450b9afea82485b963eacaa8f4205722e4f263ca16e9463a69e2ef49f4031e,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/audit/binary_data_preflight.json"", ""sha256"": ""17e04feb534548e5dfacf6dd1342d0aa0c9eeaf841ae585d6f9dfe904d43180d""}, {""path"": ""experiments/final_results/main_mechanism_aware/split_manifest.json"", ""sha256"": ""6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568""}, {""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}]",mapped
RES-ABSTRACT,registered_historical_v1_and_exploratory,Outcome burden differed substantially between centers: IDH occurred in 14.5%,2fb089878c69b27847c449e82664c2cc21f31e115c05bcafe6231dd1cf576136,binary_20260719_044949_c6c955a30fc2;binary_20260719_052452_6913955efcfe;binary_20260719_053438_0be143d15776;binary_20260719_054003_190b64e7fcd5;binary_20260719_054454_fc09992c00bc,"[{""path"": ""experiments/audit/binary_data_preflight.json"", ""sha256"": ""17e04feb534548e5dfacf6dd1342d0aa0c9eeaf841ae585d6f9dfe904d43180d""}, {""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}, {""path"": ""experiments/evidence_registry/exploratory_provenance.json"", ""sha256"": ""6e9e1a24b3fcb56c5809e0471f563be8391c46b05e374afbc1489f68a4369640""}]",mapped
MTH-SETTING,registered_dataset,"The binary preflight artifact records 211,452 eligible source-center sessions",abad40fe4e63f7f04c0dc153256c16f5a62ef5958a9b3c3dba15b1ccc7f74fa8,,"[{""path"": ""experiments/audit/binary_data_preflight.json"", ""sha256"": ""17e04feb534548e5dfacf6dd1342d0aa0c9eeaf841ae585d6f9dfe904d43180d""}, {""path"": ""experiments/evidence_registry/dataset_manifest.csv"", ""sha256"": ""f3a6eaa351a020b4b72001404d45c658da79a7c436fce0df67a34866d558f530""}]",mapped
MTH-OUTCOMES,registered_historical_v1,IDH: baseline systolic blood pressure minus intradialytic systolic blood pressure of at least 30,0ffc1e07814496a7511b479b98b42642a361b23defb96bd65280ba12c39fd3df,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/config.yaml"", ""sha256"": ""07120fb605ee8ee0a04ab7b5717a45f6cd7441e78faf8b8f592547427f0ffdfa""}]",mapped
MTH-FEATURES,registered_historical_v1,The frozen run used 24 variables,1ca1cb4255a9492cc6cf958b51fde02355a0c74f23b7338b20da5f63c8767d20,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/evidence_registry/feature_manifest.csv"", ""sha256"": ""c49313296c6588010d9dfcf33868acd06e1fe459a22135a4bfd82e67b98cacde""}, {""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}]",mapped
MTH-SPLIT,registered_historical_v1,"All splits were performed at patient level. Source-center patients were divided into 1,465",4962193900c6b7ce6c10aa6f6377de1980069ec30df9264b6167c7d0cf063c86,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/split_manifest.json"", ""sha256"": ""6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568""}, {""path"": ""experiments/evidence_registry/split_audit.json"", ""sha256"": ""05bcc65f34e610c49d7ec613652f50759c4e8ed533b0cd1b6ad17aa3373eb6aa""}]",mapped
MTH-MODEL-ROLES,registered_historical_v1,A source logistic regression trained on source-center data.,de904fee7da36d5baa879b6b8b91a711e44e89c25bb22ffedf5c82649a7768b8,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/config.yaml"", ""sha256"": ""07120fb605ee8ee0a04ab7b5717a45f6cd7441e78faf8b8f592547427f0ffdfa""}, {""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}]",mapped
MTH-ARCHITECTURE,registered_historical_v1,The mechanism-aware MLP used separate two-layer encoders,99465ac7b6ef34600584decdd36c8253a6dcb25665dcf168dc6deef2c0b5c13f,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/config.yaml"", ""sha256"": ""07120fb605ee8ee0a04ab7b5717a45f6cd7441e78faf8b8f592547427f0ffdfa""}]",mapped
MTH-CORAL,registered_historical_v1,"During updating, CORAL penalized differences",422d6010ab32b0fd1f18f526f7243382bea6efde6e956badadfff2a21c16a706,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/config.yaml"", ""sha256"": ""07120fb605ee8ee0a04ab7b5717a45f6cd7441e78faf8b8f592547427f0ffdfa""}]",mapped
