feature_name,category,branch_assignment,inclusion_status,model_index,available_at_prediction_time,source_column,preprocessing_rule,rationale
性别,demographic,physiology_history,included,0,start,性别,source-train median imputation; source-train z-score,baseline demographic
透析龄占比,demographic,physiology_history,included,1,start,透析龄占比,source-train median imputation; source-train z-score,baseline dialysis vintage ratio
超负荷,pre_dialysis,treatment_context,included,2,start,超负荷,source-train median imputation; source-train z-score,pre-dialysis volume status
历史平均超滤量MAX,history,treatment_context,included,3,start,历史平均超滤量MAX,source-train median imputation; source-train z-score,prior-session aggregate only
历史平均透前体重,history,physiology_history,included,4,start,历史平均透前体重,source-train median imputation; source-train z-score,prior-session aggregate only
历史平均透前收缩压,history,physiology_history,included,5,start,历史平均透前收缩压,source-train median imputation; source-train z-score,prior-session aggregate only
历史平均透前舒张压,history,physiology_history,included,6,start,历史平均透前舒张压,source-train median imputation; source-train z-score,prior-session aggregate only
历史平均透中低血压_计算,history,physiology_history,included,7,start,历史平均透中低血压_计算,source-train median imputation; source-train z-score,prior-session event burden only
抗凝剂类型_code,treatment_context,excluded,excluded,,start,抗凝剂类型,excluded,excluded from the frozen 24-predictor binary model; the source allowlist contains a legacy survival-study rationale that is not used as binary-study evidence
透析方式_code,treatment_context,excluded,excluded,,start,透析方式,excluded,excluded from the frozen 24-predictor binary model; the source allowlist contains a legacy survival-study rationale that is not used as binary-study evidence
瘘管类型_code,treatment_context,excluded,excluded,,start,瘘管类型,excluded,excluded from the frozen 24-predictor binary model; the source allowlist contains a legacy survival-study rationale that is not used as binary-study evidence
瘘管位置_code,treatment_context,excluded,excluded,,start,瘘管位置,excluded,excluded from the frozen 24-predictor binary model; the source allowlist contains a legacy survival-study rationale that is not used as binary-study evidence
透析液钙浓度,treatment_context,excluded,excluded,,start,透析液钙浓度,excluded,excluded from the frozen 24-predictor binary model; the source allowlist contains a legacy survival-study rationale that is not used as binary-study evidence
透析液电导率,treatment_context,excluded,excluded,,start,透析液电导率,excluded,excluded from the frozen 24-predictor binary model; the source allowlist contains a legacy survival-study rationale that is not used as binary-study evidence
透前体重-干体重,pre_dialysis,treatment_context,included,8,start,透前体重-干体重,source-train median imputation; source-train z-score,pre-dialysis status
透前呼吸频率,pre_dialysis,physiology_history,included,9,start,透前呼吸频率,source-train median imputation; source-train z-score,pre-dialysis vital sign
透前体温,pre_dialysis,physiology_history,included,10,start,透前体温,source-train median imputation; source-train z-score,pre-dialysis vital sign
透前收缩压,pre_dialysis,physiology_history,included,11,start,透前收缩压,source-train median imputation; source-train z-score,pre-dialysis vital sign
透前舒张压,pre_dialysis,physiology_history,included,12,start,透前舒张压,source-train median imputation; source-train z-score,pre-dialysis vital sign
透前动脉压,pre_dialysis,physiology_history,included,13,start,透前动脉压,source-train median imputation; source-train z-score,pre-dialysis vital sign
脉压差,pre_dialysis,physiology_history,included,14,start,脉压差,source-train median imputation; source-train z-score,derived from pre-dialysis BP
平均动脉压,pre_dialysis,physiology_history,included,15,start,平均动脉压,source-train median imputation; source-train z-score,derived from pre-dialysis BP
history_IDH_rate,history,physiology_history,included,16,start,history_IDH_rate,source-train median imputation; source-train z-score,prior-session IDH burden
history_HBP_rate,history,physiology_history,included,17,start,history_HBP_rate,source-train median imputation; source-train z-score,prior-session IH burden
history_LBP_times_0_rate,history,physiology_history,included,18,start,history_LBP_times_0_rate,source-train median imputation; source-train z-score,prior-session no-IDH burden legacy name
history_LBP_times_1_rate,history,physiology_history,included,19,start,history_LBP_times_1_rate,source-train median imputation; source-train z-score,prior-session timing-bin burden
history_LBP_times_2_rate,history,physiology_history,included,20,start,history_LBP_times_2_rate,source-train median imputation; source-train z-score,prior-session timing-bin burden
history_LBP_times_3_rate,history,physiology_history,included,21,start,history_LBP_times_3_rate,source-train median imputation; source-train z-score,prior-session timing-bin burden
history_LBP_times_4_rate,history,physiology_history,included,22,start,history_LBP_times_4_rate,source-train median imputation; source-train z-score,prior-session timing-bin burden
历史平均超滤率_mean,history,treatment_context,included,23,start,历史平均超滤率_mean,source-train median imputation; source-train z-score,prior-session aggregate only
透析中收缩压_mean,current_session_future,excluded,excluded,,end,透析中收缩压,excluded,current-session intradialytic summary — future info
透析中收缩压_std,current_session_future,excluded,excluded,,end,透析中收缩压,excluded,current-session intradialytic summary — future info
透析中舒张压_mean,current_session_future,excluded,excluded,,end,透析中舒张压,excluded,current-session intradialytic summary — future info
透析中舒张压_std,current_session_future,excluded,excluded,,end,透析中舒张压,excluded,current-session intradialytic summary — future info
透析中脉搏_mean,current_session_future,excluded,excluded,,end,透析中脉搏,excluded,current-session intradialytic summary — future info
透析中脉搏_std,current_session_future,excluded,excluded,,end,透析中脉搏,excluded,current-session intradialytic summary — future info
动脉压_mean,current_session_future,excluded,excluded,,end,动脉压,excluded,current-session intradialytic summary — future info
动脉压_std,current_session_future,excluded,excluded,,end,动脉压,excluded,current-session intradialytic summary — future info
原始动脉压_mean,current_session_future,excluded,excluded,,end,原始动脉压,excluded,current-session intradialytic summary — future info
原始动脉压_std,current_session_future,excluded,excluded,,end,原始动脉压,excluded,current-session intradialytic summary — future info
静脉压_mean,current_session_future,excluded,excluded,,end,静脉压,excluded,current-session intradialytic summary — future info
