feature,primary_group,allowed,available_at_prediction_time,preprocessing,reason,contract_version
年龄,physiology_history,yes,start,source_train_median_zscore,age at session derived from birth and dialysis date,v3_research_contract_1
性别,physiology_history,yes,start,canonical_binary_then_source_train_median_zscore,canonical female=0 male=1 mapping,v3_research_contract_1
透析龄年,physiology_history,yes,start,source_train_median_zscore,nonnegative chronic dialysis exposure in years,v3_research_contract_1
透前收缩压,physiology_history,yes,start,source_train_median_zscore,raw pre-dialysis blood pressure,v3_research_contract_1
透前舒张压,physiology_history,yes,start,source_train_median_zscore,raw pre-dialysis blood pressure,v3_research_contract_1
透前呼吸频率,physiology_history,yes,start,source_train_median_zscore,observed pre-dialysis vital sign,v3_research_contract_1
透前体温,physiology_history,yes,start,source_train_median_zscore,cleaned to the locked 30-45 C technical range,v3_research_contract_1
透前体重-干体重,treatment_context,yes,start,source_train_median_zscore,volume state partly determined by dry-weight policy,v3_research_contract_1
超负荷,treatment_context,yes,start,source_train_median_zscore,relative volume state partly determined by dry-weight policy,v3_research_contract_1
历史平均超滤量MAX,treatment_context,yes,start,source_train_median_zscore,strictly prior treatment-intensity trajectory,v3_research_contract_1
历史平均超滤率_mean,treatment_context,yes,start,source_train_median_zscore,strictly prior treatment-intensity trajectory,v3_research_contract_1
历史平均透前体重,physiology_history,yes,start,source_train_median_zscore,strictly prior weight trajectory,v3_research_contract_1
历史平均透前收缩压,physiology_history,yes,start,source_train_median_zscore,strictly prior systolic trajectory,v3_research_contract_1
历史平均透前舒张压,physiology_history,yes,start,source_train_median_zscore,strictly prior diastolic trajectory,v3_research_contract_1
历史平均透中低血压_计算,physiology_history,yes,start,source_train_median_zscore,strictly prior IDH event mean,v3_research_contract_1
history_IDH_rate,physiology_history,yes,start,source_train_median_zscore,strictly prior IDH burden,v3_research_contract_1
history_HBP_rate,physiology_history,yes,start,source_train_median_zscore,strictly prior IH burden,v3_research_contract_1
history_LBP_times_0_rate,physiology_history,yes,start,source_train_median_zscore,strictly prior no-IDH burden legacy name,v3_research_contract_1
history_LBP_times_1_rate,physiology_history,yes,start,source_train_median_zscore,strictly prior IDH timing-bin burden,v3_research_contract_1
history_LBP_times_2_rate,physiology_history,yes,start,source_train_median_zscore,strictly prior IDH timing-bin burden,v3_research_contract_1
history_LBP_times_3_rate,physiology_history,yes,start,source_train_median_zscore,strictly prior IDH timing-bin burden,v3_research_contract_1
history_LBP_times_4_rate,physiology_history,yes,start,source_train_median_zscore,strictly prior IDH timing-bin burden,v3_research_contract_1
透析龄占比,exposure_sensitivity,no,start,not_primary,sensitivity alternative to dialysis vintage years,v3_research_contract_1
透前动脉压,bp_sensitivity,no,start,not_primary,deterministic sensitivity alternative to raw SBP and DBP,v3_research_contract_1
脉压差,bp_sensitivity,no,start,not_primary,deterministic sensitivity alternative to raw SBP and DBP,v3_research_contract_1
透前体温_异常标记,measurement_process,no,start,not_primary,process-shift sensitivity only,v3_research_contract_1
透前体温_缺失标记,measurement_process,no,start,not_primary,process-shift sensitivity only,v3_research_contract_1
抗凝剂类型_code,treatment_semantic_block,no,start,not_primary,source integer codes lack a verified cross-center label mapping,v3_research_contract_1
透析方式_code,treatment_semantic_block,no,start,not_primary,source integer codes lack a verified cross-center label mapping,v3_research_contract_1
瘘管类型_code,treatment_semantic_block,no,start,not_primary,source integer codes lack a verified cross-center label mapping,v3_research_contract_1
瘘管位置_code,treatment_semantic_block,no,start,not_primary,source integer codes lack a verified cross-center label mapping,v3_research_contract_1
透析液钙浓度,treatment_support_block,no,start,not_primary,target has no observed variation,v3_research_contract_1
透析液电导率,treatment_support_block,no,start,not_primary,both centers are constant at 14,v3_research_contract_1
平均动脉压,future_information,no,end,forbidden,current-session intradialytic sequence,v3_research_contract_1
