feature_id,raw_feature_name,analysis_feature_name,primary_tier,alternative_tier,available_at_prediction_time,source_column,target_column,candidate_inclusion_status,clinical_rationale,classification_uncertainty,alternative_grouping_sensitivity,preprocessing_gate,clinical_approver,manifest_version
V3-F001,出生日期,年龄,Tier1_observed_physiology_population,,start,出生日期,出生日期,protocol_implemented_pending_rebuild,"Age at session derived from birth and dialysis dates; exact birth date is removed",low,exclude_or_population_subgroup,derive_0_lt_age_le_120,REQUIRED,v3_contract_1
V3-F002,性别,性别,Tier1_observed_physiology_population,Tier4_measurement_process,start,性别,性别,protocol_implemented_pending_rebuild,"Canonical female=0 male=1 mapping with unknown set missing",medium,categorical_mapping_sensitivity,canonical_mapping_before_numeric_conversion,REQUIRED,v3_contract_1
V3-F003,首次透析日期,透析龄年,Tier1_observed_physiology_population,Tier3_historical_trajectory,start,首次透析日期,首次透析日期,protocol_implemented_pending_rebuild,"Nonnegative dialysis exposure in years; ratio is sensitivity only",medium,透析龄占比_sensitivity,derive_0_le_vintage_le_age,REQUIRED,v3_contract_1
V3-F004,透前收缩压,透前收缩压,Tier1_observed_physiology,,start,透前收缩压,透前收缩压,pending_v3_review,"Observed pre-dialysis physiological state",low,,unit_range_missingness_audit_required,REQUIRED,v3_candidate_ontology
V3-F005,透前舒张压,透前舒张压,Tier1_observed_physiology,,start,透前舒张压,透前舒张压,pending_v3_review,"Observed pre-dialysis physiological state",low,,unit_range_missingness_audit_required,REQUIRED,v3_candidate_ontology
V3-F006,透前收缩压和透前舒张压,透前动脉压,Tier1_observed_physiology,,start,derived,derived,sensitivity_only,"Canonical derived baseline MAP; not entered with raw SBP and DBP in primary probes",low,derived_bp_sensitivity,formula_locked_sensitivity_only,REQUIRED,v3_contract_1
V3-F007,透前收缩压和透前舒张压,脉压差,Tier1_observed_physiology,,start,derived,derived,pending_v3_review,"Derived baseline pulse pressure",low,exclude_redundant_derivation,redundancy_and_formula_audit_required,REQUIRED,v3_candidate_ontology
V3-F008,平均动脉压,平均动脉压,Tier1_observed_physiology,,end,平均动脉压,not_available,excluded_future_information,"Source raw field is a current-session MAP sequence and is not a baseline predictor",low,,excluded_by_prediction_time,REQUIRED,v3_contract_1
V3-F009,透前呼吸频率,透前呼吸频率,Tier1_observed_physiology,Tier4_measurement_process,start,透前呼吸频率,透前呼吸频率,pending_v3_review,"Observed pre-dialysis vital sign with documentation sensitivity",medium,measurement_sensitive_group,unit_range_missingness_audit_required,REQUIRED,v3_candidate_ontology
V3-F010,透前体温,透前体温,Tier1_observed_physiology,Tier4_measurement_process,start,透前体温,透前体温,protocol_implemented_pending_rebuild,"Values outside the broad 30-45 C technical range are set missing without guessed correction",medium,measurement_sensitive_group,range_30_to_45_and_missingness_audit,REQUIRED,v3_contract_1
V3-F011,透前体重和干体重,透前体重-干体重,Tier1_observed_physiology,Tier2_treatment_context,start,derived,derived,pending_v3_review,"Volume-state proxy partly determined by prescribed dry weight",high,physiology_vs_treatment_partition,formula_range_missingness_audit_required,REQUIRED,v3_candidate_ontology
V3-F012,透前体重和干体重,超负荷,Tier1_observed_physiology,Tier2_treatment_context,start,derived,derived,pending_v3_review,"Relative volume-state proxy partly dependent on clinical dry-weight policy",high,physiology_vs_treatment_partition,formula_denominator_range_audit_required,REQUIRED,v3_candidate_ontology
V3-F013,抗凝剂类型,抗凝剂类型_code,Tier2_treatment_context,Tier4_measurement_process,start,抗凝剂类型,抗凝剂类型,pending_v3_reconsideration,"Treatment choice and documentation category",high,treatment_vs_process_partition,source_fitted_category_mapping_required,REQUIRED,v3_candidate_ontology
V3-F014,透析方式,透析方式_code,Tier2_treatment_context,Tier4_measurement_process,start,透析方式,透析方式,pending_v3_reconsideration,"Treatment modality and center workflow",high,treatment_vs_process_partition,semantic_mapping_and_unknown_code_audit_required,REQUIRED,v3_candidate_ontology
V3-F015,瘘管类型,瘘管类型_code,Tier2_treatment_context,Tier1_observed_physiology,start,瘘管类型,瘘管类型,pending_v3_reconsideration,"Access type reflects anatomy and clinical treatment choice",high,treatment_vs_patient_state_partition,semantic_mapping_and_unknown_code_audit_required,REQUIRED,v3_candidate_ontology
V3-F016,瘘管位置,瘘管位置_code,Tier2_treatment_context,Tier4_measurement_process,start,瘘管位置,瘘管位置,pending_v3_reconsideration,"Access location may reflect anatomy and documentation practice",high,treatment_vs_process_partition,semantic_mapping_and_unknown_code_audit_required,REQUIRED,v3_candidate_ontology
V3-F017,透析液钙浓度,透析液钙浓度,Tier2_treatment_context,Tier4_measurement_process,start,透析液钙浓度,透析液钙浓度,pending_v3_reconsideration,"Prescribed dialysate composition",medium,treatment_vs_process_partition,unit_range_and_center_mapping_required,REQUIRED,v3_candidate_ontology
V3-F018,透析液电导率,透析液电导率,Tier2_treatment_context,Tier4_measurement_process,start,透析液电导率,透析液电导率,pending_v3_reconsideration,"Treatment setting potentially device-dependent",high,treatment_vs_measurement_partition,unit_device_and_range_audit_required,REQUIRED,v3_candidate_ontology
V3-F019,历史超滤量MAX,历史平均超滤量MAX,Tier3_historical_trajectory,Tier2_treatment_context,start,derived,derived,pending_v3_review,"Strictly prior treatment-intensity trajectory",medium,history_vs_treatment_partition,strictly_prior_and_unit_audit_required,REQUIRED,v3_candidate_ontology
V3-F020,历史透前体重,历史平均透前体重,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior body-weight trajectory",medium,history_vs_physiology_partition,strictly_prior_and_range_audit_required,REQUIRED,v3_candidate_ontology
V3-F021,历史透前收缩压,历史平均透前收缩压,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior systolic-pressure trajectory",medium,history_vs_physiology_partition,strictly_prior_and_range_audit_required,REQUIRED,v3_candidate_ontology
V3-F022,历史透前舒张压,历史平均透前舒张压,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior diastolic-pressure trajectory",medium,history_vs_physiology_partition,strictly_prior_and_range_audit_required,REQUIRED,v3_candidate_ontology
V3-F023,历史透中低血压,历史平均透中低血压_计算,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior instability burden",medium,history_vs_physiology_partition,strictly_prior_endpoint_derivation_audit_required,REQUIRED,v3_candidate_ontology
V3-F024,历史超滤率,历史平均超滤率_mean,Tier3_historical_trajectory,Tier2_treatment_context,start,derived,derived,pending_v3_review,"Strictly prior ultrafiltration-rate trajectory",medium,history_vs_treatment_partition,strictly_prior_and_unit_audit_required,REQUIRED,v3_candidate_ontology
V3-F025,历史IDH事件,history_IDH_rate,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior IDH burden",medium,history_vs_outcome_specific_partition,strictly_prior_endpoint_derivation_audit_required,REQUIRED,v3_candidate_ontology
V3-F026,历史IH事件,history_HBP_rate,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior IH burden",medium,history_vs_outcome_specific_partition,strictly_prior_endpoint_derivation_audit_required,REQUIRED,v3_candidate_ontology
V3-F027,历史无IDH事件,history_LBP_times_0_rate,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior no-IDH proportion; legacy name requires clarification",high,exclude_as_redundant_with_idh_rate,strictly_prior_and_redundancy_audit_required,REQUIRED,v3_candidate_ontology
V3-F028,历史IDH时段1,history_LBP_times_1_rate,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior IDH timing-bin burden",medium,combined_history_summary,strictly_prior_and_bin_definition_audit_required,REQUIRED,v3_candidate_ontology
V3-F029,历史IDH时段2,history_LBP_times_2_rate,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior IDH timing-bin burden",medium,combined_history_summary,strictly_prior_and_bin_definition_audit_required,REQUIRED,v3_candidate_ontology
V3-F030,历史IDH时段3,history_LBP_times_3_rate,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior IDH timing-bin burden",medium,combined_history_summary,strictly_prior_and_bin_definition_audit_required,REQUIRED,v3_candidate_ontology
V3-F031,历史IDH时段4,history_LBP_times_4_rate,Tier3_historical_trajectory,Tier1_observed_physiology,start,derived,derived,pending_v3_review,"Strictly prior IDH timing-bin burden",medium,combined_history_summary,strictly_prior_and_bin_definition_audit_required,REQUIRED,v3_candidate_ontology
V3-F032,透前体温,透前体温_异常标记,Tier4_measurement_process,Tier1_observed_physiology,start,derived,derived,process_sensitivity_only,"Flags observed numeric temperature outside 30-45 C",low,missingness_process_analysis,excluded_from_primary_predictive_partition,REQUIRED,v3_contract_1
V3-F033,透前体温,透前体温_缺失标记,Tier4_measurement_process,Tier1_observed_physiology,start,derived,derived,process_sensitivity_only,"Flags original missingness or invalid temperature",low,missingness_process_analysis,excluded_from_primary_predictive_partition,REQUIRED,v3_contract_1
