partition_id,family,partition_index,master_seed,aligned_feature_count,aligned_features,preserved_features,feature_allowlist_sha256,clinical_partition_sha256,generation_status
A_unrestricted_random-01,A_unrestricted_random,1,20260715,6,"[""history_LBP_times_2_rate"", ""history_LBP_times_4_rate"", ""历史平均透中低血压_计算"", ""超负荷"", ""透前体重-干体重"", ""透前舒张压""]","[""年龄"", ""性别"", ""透析龄年"", ""透前收缩压"", ""透前呼吸频率"", ""透前体温"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_3_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-02,A_unrestricted_random,2,20260715,1,"[""history_LBP_times_3_rate""]","[""年龄"", ""性别"", ""透析龄年"", ""透前收缩压"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-03,A_unrestricted_random,3,20260715,6,"[""history_LBP_times_4_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透中低血压_计算"", ""超负荷"", ""透前舒张压""]","[""年龄"", ""性别"", ""透析龄年"", ""透前收缩压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-04,A_unrestricted_random,4,20260715,12,"[""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透中低血压_计算"", ""历史平均透前舒张压"", ""超负荷"", ""透前体重-干体重"", ""透析龄年""]","[""年龄"", ""性别"", ""透前收缩压"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""history_IDH_rate"", ""history_LBP_times_1_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-05,A_unrestricted_random,5,20260715,6,"[""history_LBP_times_4_rate"", ""历史平均透前体重"", ""性别"", ""透前呼吸频率"", ""透前舒张压"", ""透析龄年""]","[""年龄"", ""透前收缩压"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-06,A_unrestricted_random,6,20260715,13,"[""history_HBP_rate"", ""history_IDH_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""性别"", ""透前体温"", ""透前体重-干体重"", ""透前收缩压"", ""透前舒张压""]","[""年龄"", ""透析龄年"", ""透前呼吸频率"", ""超负荷"", ""历史平均透前体重"", ""历史平均透中低血压_计算"", ""history_LBP_times_0_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-07,A_unrestricted_random,7,20260715,10,"[""history_HBP_rate"", ""history_IDH_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_3_rate"", ""历史平均超滤率_mean"", ""年龄"", ""超负荷"", ""透前收缩压"", ""透析龄年""]","[""性别"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_LBP_times_2_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-08,A_unrestricted_random,8,20260715,14,"[""history_HBP_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透中低血压_计算"", ""历史平均透前收缩压"", ""年龄"", ""性别"", ""超负荷"", ""透前体重-干体重"", ""透前收缩压"", ""透析龄年""]","[""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""历史平均透前体重"", ""历史平均透前舒张压"", ""history_IDH_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_2_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-09,A_unrestricted_random,9,20260715,2,"[""history_LBP_times_3_rate"", ""历史平均透前收缩压""]","[""年龄"", ""性别"", ""透析龄年"", ""透前收缩压"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-10,A_unrestricted_random,10,20260715,17,"[""history_IDH_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""年龄"", ""性别"", ""超负荷"", ""透前体温"", ""透前体重-干体重"", ""透前收缩压"", ""透前舒张压"", ""透析龄年""]","[""透前呼吸频率"", ""历史平均透中低血压_计算"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_2_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
